Bank_Name,NPL_Ratio,Compliance_Index,Bank_Size_MCap,Bank_Size_Binary,Clarity_Index
Access Bank Plc,3.0,88,1410,1,4.666652610371623
Fidelity Bank Plc,3.1,84,1054,1,4.469135802469136
First Bank of Nigeria,6.1,86,1200,1,3.9456521739130435
First City Monument Bank,3.2,82,520,0,4.5
Guaranty Trust Bank ,5.2,91,2330,1,5.15
Stanbic IBTC Bank,4.2,92,600,0,4.666652610371623
Sterling Bank,3.3,80,260,0,5.166666666666667
Union Bank of Nigeria,3.7,82,520,0,5.625
United Bank for Africa,6.6,89,1800,1,3.9504504504504503
Zenith Bank Plc,4.7,78,1429,1,4.526315789473684
